0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
14.0,1.0,1.0,1.0,99.0,499.4,0.08,12.86,38.84,6420.79,0.17,356.71,14.0,10.0,0.0,22.0,12.0,21.0,54.0,45.0,1.0,False
4.0,1.0,1.0,1.0,11.0,34.87,0.4,2.5,13.95,87.17,0.01,4.84,4.0,2.0,0.0,1.0,5.0,4.0,7.0,4.0,1.0,False
27.0,3.0,1.0,3.0,110.0,554.88,0.08,12.29,45.16,6817.14,0.18,378.73,27.0,1.0,0.0,4.0,12.0,21.0,67.0,43.0,5.0,False
64.0,8.0,1.0,8.0,198.0,1174.29,0.04,22.28,52.7,26165.5,0.39,1453.64,48.0,73.0,16.0,32.0,22.0,39.0,119.0,79.0,12.0,True
6.0,2.0,1.0,2.0,20.0,76.15,0.15,6.67,11.42,507.65,0.03,28.2,6.0,0.0,0.0,0.0,8.0,6.0,10.0,10.0,3.0,False
26.0,5.0,1.0,5.0,86.0,460.75,0.09,10.67,43.17,4917.61,0.15,273.2,26.0,18.0,0.0,14.0,15.0,26.0,49.0,37.0,9.0,False
14.0,5.0,3.0,3.0,56.0,280.0,0.1,10.11,27.69,2831.11,0.09,157.28,14.0,1.0,0.0,1.0,14.0,18.0,30.0,26.0,9.0,False
15.0,3.0,1.0,3.0,41.0,174.17,0.09,11.0,15.83,1915.82,0.06,106.43,14.0,1.0,1.0,5.0,11.0,8.0,25.0,16.0,5.0,False
14.0,1.0,1.0,1.0,99.0,499.4,0.08,12.86,38.84,6420.79,0.17,356.71,14.0,10.0,0.0,22.0,12.0,21.0,54.0,45.0,1.0,False
31.0,7.0,5.0,4.0,125.0,660.68,0.03,32.08,20.59,21196.67,0.22,1177.59,28.0,19.0,3.0,14.0,21.0,18.0,70.0,55.0,13.0,False
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,False
8.0,2.0,1.0,2.0,25.0,95.18,0.18,5.5,17.31,523.51,0.03,29.08,7.0,0.0,1.0,1.0,7.0,7.0,14.0,11.0,3.0,False
34.0,6.0,6.0,6.0,176.0,1026.58,0.06,17.0,60.39,17452.01,0.34,969.56,34.0,5.0,0.0,19.0,19.0,38.0,108.0,68.0,11.0,True
63.0,17.0,9.0,7.0,429.0,2843.99,0.03,32.0,88.87,91007.81,0.95,5055.99,57.0,6.0,6.0,5.0,24.0,75.0,229.0,200.0,33.0,True
9.0,1.0,1.0,1.0,65.0,322.02,0.11,9.16,35.16,2949.05,0.11,163.84,9.0,2.0,0.0,5.0,12.0,19.0,36.0,29.0,1.0,False
77.0,14.0,6.0,10.0,555.0,3763.65,0.02,45.0,83.64,169364.46,1.25,9409.14,77.0,9.0,0.0,25.0,30.0,80.0,315.0,240.0,27.0,False
41.0,2.0,1.0,2.0,343.0,2149.51,0.04,28.31,75.92,60857.94,0.72,3381.0,41.0,12.0,0.0,14.0,21.0,56.0,192.0,151.0,3.0,False
88.0,36.0,15.0,24.0,516.0,3538.72,0.03,29.92,118.25,105895.19,1.18,5883.07,84.0,1.0,4.0,13.0,23.0,93.0,274.0,242.0,71.0,False
44.0,11.0,3.0,8.0,324.0,2098.14,0.03,31.21,67.22,65489.41,0.7,3638.3,44.0,5.0,0.0,19.0,28.0,61.0,188.0,136.0,21.0,False
39.0,8.0,5.0,8.0,134.0,767.54,0.05,18.7,41.04,14355.42,0.26,797.52,37.0,0.0,2.0,2.0,21.0,32.0,77.0,57.0,13.0,False
144.0,36.0,1.0,17.0,1070.0,7270.02,0.01,87.53,83.06,636348.83,2.42,35352.71,102.0,24.0,42.0,62.0,29.0,82.0,575.0,495.0,71.0,False
3.0,3.0,1.0,2.0,32.0,135.93,0.11,8.89,15.29,1208.3,0.05,67.13,3.0,0.0,0.0,0.0,10.0,9.0,16.0,16.0,5.0,False
32.0,6.0,1.0,5.0,186.0,1116.0,0.03,30.72,36.33,34286.0,0.37,1904.78,30.0,6.0,2.0,11.0,28.0,36.0,107.0,79.0,11.0,True
7.0,1.0,1.0,1.0,29.0,120.93,0.16,6.25,19.35,755.8,0.04,41.99,7.0,12.0,0.0,12.0,10.0,8.0,19.0,10.0,1.0,False
5.0,1.0,1.0,1.0,17.0,62.91,0.24,4.08,15.41,256.87,0.02,14.27,5.0,9.0,0.0,3.0,7.0,6.0,10.0,7.0,1.0,False
9.0,2.0,1.0,1.0,30.0,120.0,0.24,4.2,28.57,504.0,0.04,28.0,9.0,2.0,0.0,2.0,6.0,10.0,16.0,14.0,3.0,False
45.0,12.0,1.0,5.0,221.0,1359.09,0.03,28.6,47.52,38870.09,0.45,2159.45,43.0,2.0,2.0,4.0,26.0,45.0,122.0,99.0,20.0,False
